#asn (keep ordered by number?)|tag|contributor|reference
12654|route-collector|emileaben|https://www.ripe.net/analyse/internet-measurements/routing-information-service-ris/ris-peering-policy
60247|route-server|emileaben|labIX talk ccccamp https://media.ccc.de/v/camp2023-57179-labix#t=102
